87
0 , 17
0 , 2
0 , 12
0 , 38
1 , 38
1 , 15
1 , 39
1 , 7
1 , 5
1 , 2
2 , 11
3 , 15
3 , 25
3 , 35
3 , 29
4 , 21
4 , 39
4 , 25
5 , 30
5 , 36
6 , 16
6 , 27
6 , 10
6 , 28
6 , 13
6 , 20
7 , 31
7 , 36
7 , 24
7 , 28
8 , 11
8 , 35
8 , 29
8 , 17
8 , 32
9 , 36
9 , 37
9 , 39
9 , 26
10 , 35
10 , 33
10 , 14
10 , 20
11 , 19
11 , 15
12 , 26
12 , 16
12 , 17
12 , 30
13 , 26
13 , 32
13 , 30
13 , 20
13 , 16
14 , 20
14 , 19
14 , 26
15 , 25
15 , 23
16 , 31
16 , 33
16 , 19
17 , 37
17 , 18
18 , 34
18 , 35
20 , 30
20 , 22
21 , 38
21 , 22
22 , 24
23 , 24
23 , 29
23 , 28
24 , 32
24 , 27
25 , 32
26 , 33
27 , 33
28 , 37
29 , 35
29 , 32
30 , 32
31 , 33
31 , 38
34 , 38
34 , 37
